marker,LG,position
TIG015_253572,7,0
TIG015_324314,7,0
TIG015_349336,7,0
TIG015_349603,7,0
TIG015_359699,7,0
TIG015_360708,7,0
TIG015_360740,7,0
TIG015_360766,7,0
TIG015_360959,7,0
TIG015_360979,7,0
TIG015_401659,7,0
TIG015_401697,7,0
TIG015_510216,7,0
TIG015_588248,7,0
TIG015_633542,7,0
TIG015_634036,7,0
TIG015_650104,7,0
TIG015_650434,7,0
TIG015_700326,7,14.77272727
TIG015_724276,7,21.59090909
TIG015_743544,7,21.59090909
TIG015_743587,7,21.59090909
TIG015_746475,7,21.59090909
TIG015_1233523,7,29.54545455
TIG015_1399871,7,30.68181818
TIG015_1399888,7,30.68181818
TIG015_1423422,7,30.68181818
TIG015_1443548,7,30.68181818
TIG015_1478080,7,30.68181818
TIG015_1565655,7,30.68181818
TIG015_1582158,7,31.81818182
TIG015_1611938,7,31.81818182
TIG015_1672860,7,31.81818182
TIG015_1672900,7,31.81818182
TIG015_1731528,7,31.81818182
TIG015_1771208,7,31.81818182
TIG015_1875099,7,31.81818182
TIG015_1875114,7,31.81818182
TIG015_2690558,7,53.40909091
TIG015_2771717,7,62.5
TIG015_2794782,7,62.5
TIG015_2807170,7,62.5
TIG015_2847903,7,65.90909091
TIG015_2887240,7,65.90909091
TIG015_2887392,7,65.90909091
TIG015_2887491,7,65.90909091
TIG015_2985217,7,65.90909091
TIG015_3035627,7,67.04545455
TIG015_3035848,7,67.04545455
TIG015_3068362,7,68.18181818
TIG015_3283970,7,70.45454545
TIG015_3355407,7,71.59090909
TIG015_3518325,7,71.59090909
TIG015_3518492,7,71.59090909
TIG015_3541102,7,71.59090909
TIG015_3541110,7,71.59090909
TIG015_3610778,7,78.40909091
TIG015_3624663,7,78.40909091
TIG015_3624671,7,78.40909091
TIG015_3624676,7,78.40909091
TIG015_3624754,7,78.40909091
TIG015_3749283,7,79.54545455
TIG015_3749294,7,79.54545455
TIG015_3807985,7,80.68181818
TIG015_3818617,7,82.95454545
TIG015_3818667,7,82.95454545
TIG015_3819030,7,82.95454545
TIG015_3853089,7,82.95454545
TIG015_3859580,7,82.95454545
TIG015_3927776,7,82.95454545
TIG015_3933390,7,82.95454545
TIG015_3963546,7,82.95454545
TIG015_4040663,7,84.09090909
TIG015_4040692,7,84.09090909
TIG015_4143922,7,84.09090909
TIG015_4253235,7,85.22727273
TIG015_4253397,7,85.22727273
TIG015_4379919,7,97.72727273
TIG015_4379941,7,97.72727273
TIG015_4379961,7,97.72727273
TIG015_4379981,7,97.72727273
TIG015_4381184,7,97.72727273
TIG015_4381219,7,97.72727273
TIG015_4511881,7,100
TIG015_4524030,7,100
TIG015_4625729,7,100
TIG015_4676031,7,100
TIG015_4676227,7,100
TIG015_4676276,7,100
TIG040_214155,7,114.7727273
TIG040_214261,7,117.0454545
TIG040_224049,7,117.0454545
TIG040_237703,7,117.0454545
TIG040_321656,7,118.1818182
TIG040_321677,7,118.1818182
TIG040_321687,7,118.1818182
TIG040_321694,7,118.1818182
TIG040_321923,7,118.1818182
TIG040_321956,7,118.1818182
TIG040_639430,7,123.8636364
TIG040_639454,7,123.8636364
TIG040_639483,7,123.8636364
TIG040_639491,7,123.8636364
TIG040_664081,7,123.8636364
TIG040_664095,7,123.8636364
TIG040_664117,7,123.8636364
TIG040_672098,7,123.8636364
TIG040_675097,7,123.8636364
TIG040_675153,7,123.8636364
TIG040_675183,7,123.8636364
TIG040_871924,7,127.2727273
TIG040_871969,7,127.2727273
TIG040_871979,7,127.2727273
TIG040_871993,7,127.2727273
TIG040_872082,7,127.2727273
TIG040_872092,7,127.2727273
TIG040_872104,7,127.2727273
TIG040_872131,7,127.2727273
TIG040_872139,7,127.2727273
TIG040_1000201,7,128.4090909
TIG040_1101840,7,128.4090909
TIG040_1101874,7,128.4090909
TIG040_1101879,7,128.4090909
TIG040_1101898,7,128.4090909
TIG040_1101939,7,128.4090909
TIG040_1102047,7,128.4090909
TIG040_1160556,7,128.4090909
TIG062_256189,7,134.0909091
TIG062_256151,7,134.0909091
TIG062_172355,7,139.7727273
TIG062_172337,7,139.7727273
TIG062_172289,7,139.7727273
TIG062_172270,7,139.7727273
TIG062_164249,7,139.7727273
TIG062_164062,7,139.7727273
TIG062_164040,7,139.7727273
TIG062_164032,7,139.7727273
TIG062_164005,7,139.7727273
TIG062_161043,7,139.7727273
TIG062_160989,7,139.7727273
TIG062_160982,7,139.7727273
TIG062_160965,7,139.7727273
TIG062_160908,7,139.7727273
TIG062_147316,7,139.7727273
TIG062_147298,7,139.7727273
TIG062_147235,7,139.7727273
TIG062_113043,7,139.7727273
TIG062_113026,7,139.7727273
TIG062_113020,7,139.7727273
TIG062_113000,7,139.7727273
TIG062_105819,7,139.7727273
TIG062_105798,7,139.7727273
