marker,LG,position
TIG036_1891538,12,0
TIG036_1891531,12,0
TIG036_1878097,12,0
TIG036_1878091,12,0
TIG036_1878024,12,0
TIG036_1862951,12,2.272727273
TIG036_1807590,12,3.409090909
TIG036_1775929,12,3.409090909
TIG036_1569801,12,14.77272727
TIG036_1553988,12,14.77272727
TIG036_1553357,12,14.77272727
TIG036_1537798,12,14.77272727
TIG036_1500722,12,14.77272727
TIG036_1500700,12,14.77272727
TIG036_1500644,12,14.77272727
TIG036_1476632,12,14.77272727
TIG036_1390453,12,17.04545455
TIG036_1388468,12,17.04545455
TIG036_1387436,12,17.04545455
TIG036_1387435,12,17.04545455
TIG036_1387234,12,17.04545455
TIG036_1384566,12,17.04545455
TIG036_1070766,12,18.18181818
TIG036_1070702,12,18.18181818
TIG036_1018357,12,18.18181818
TIG036_974191,12,18.18181818
TIG036_788937,12,36.36363636
TIG036_773766,12,36.36363636
TIG036_761631,12,36.36363636
TIG036_761614,12,36.36363636
TIG036_760727,12,36.36363636
TIG036_742516,12,36.36363636
TIG036_742495,12,36.36363636
TIG036_736768,12,36.36363636
TIG036_706351,12,36.36363636
TIG036_706269,12,36.36363636
TIG036_663098,12,36.36363636
TIG036_584779,12,36.36363636
TIG036_577434,12,36.36363636
TIG036_400212,12,36.36363636
TIG036_289466,12,43.18181818
TIG036_289384,12,43.18181818
TIG036_289334,12,43.18181818
TIG036_289320,12,43.18181818
TIG036_245317,12,51.13636364
TIG036_199821,12,51.13636364
TIG138_42043,12,52.27272727
TIG138_42095,12,52.27272727
TIG138_46212,12,52.27272727
TIG138_46540,12,52.27272727
TIG138_276040,12,52.27272727
TIG138_315690,12,52.27272727
TIG138_365065,12,52.27272727
TIG138_406352,12,52.27272727
TIG138_421502,12,52.27272727
TIG138_422155,12,52.27272727
TIG138_454487,12,52.27272727
TIG138_455998,12,52.27272727
TIG138_456043,12,52.27272727
TIG138_456227,12,52.27272727
TIG138_456232,12,52.27272727
TIG138_456254,12,52.27272727
TIG138_475781,12,52.27272727
TIG138_476639,12,52.27272727
TIG138_478924,12,52.27272727
TIG138_487702,12,52.27272727
TIG138_487708,12,52.27272727
TIG138_502209,12,52.27272727
TIG138_565469,12,52.27272727
TIG138_565479,12,52.27272727
TIG138_628302,12,52.27272727
TIG138_628327,12,52.27272727
TIG138_628425,12,52.27272727
TIG138_628455,12,52.27272727
TIG138_736985,12,53.40909091
TIG138_760854,12,54.54545455
TIG138_760903,12,54.54545455
TIG138_803190,12,62.5
TIG138_866158,12,62.5
TIG138_866165,12,62.5
TIG138_1146010,12,62.5
TIG138_1169474,12,62.5
TIG138_1169504,12,62.5
TIG138_1209351,12,62.5
TIG138_1209365,12,62.5
TIG138_1221853,12,62.5
TIG138_1221860,12,62.5
TIG138_1222003,12,62.5
TIG138_1222041,12,62.5
TIG138_1222084,12,62.5
TIG138_1222098,12,62.5
TIG138_1331812,12,62.5
TIG138_1331932,12,62.5
TIG138_1331954,12,62.5
TIG138_1337340,12,62.5
TIG138_1337531,12,62.5
